Flt ID,Flt Dt (Z),A/C Type,STD,Dep Arp,STA,Arv Arp
XX198,04/19/2017,77G,0740/19,BOM,1725/19,LHR
XX124,04/19/2017,77X,2200/19,BAH,0515/20,LHR
XX192,04/19/2017,74V,2315/19,DFW,0810/20,LHR
XX176,04/19/2017,74S,2330/19,JFK,0635/20,LHR
XX036,04/20/2017,78B,0001/20,MAA,1050/20,LHR
XX116,04/20/2017,74S,0015/20,JFK,0725/20,LHR
XX8004,04/20/2017,76L,0025/20,EWR,0755/20,ORY
XX208,04/20/2017,38A,0040/20,MIA,0920/20,LHR
XX172,04/20/2017,74S,0045/20,JFK,0750/20,LHR
XX248,04/20/2017,77Z,0045/20,GIG,1205/20,LHR
XX228,04/20/2017,78B,0125/20,BWI,0835/20,LHR
XX202,04/20/2017,77Y,0125/20,BOS,0800/20,LHR
XX196,04/20/2017,77Z,0125/20,IAH,1045/20,LHR
XX188,04/20/2017,789,0130/20,EWR,0820/20,LHR
XX118,04/20/2017,77J,0130/20,BLR,1210/20,LHR
XX114,04/20/2017,77Z,0130/20,JFK,0835/20,LHR
XX218,04/20/2017,74V,0130/20,DEN,1030/20,LHR
XX094,04/20/2017,78B,0135/20,YUL,0805/20,LHR
XX018,04/20/2017,78B,0135/20,ICN,1330/20,LHR
XX296,04/20/2017,77Y,0140/20,ORD,0925/20,LHR
XX276,04/20/2017,78B,0145/20,HYD,1210/20,LHR
XX098,04/20/2017,789,0150/20,YYZ,0855/20,LHR
XX2272,04/20/2017,77D,0200/20,JFK,0900/20,LGW
XX226,04/20/2017,77G,0215/20,ATL,1025/20,LHR
XX224,04/20/2017,78B,0215/20,MSY,1055/20,LHR
XX048,04/20/2017,74S,0215/20,SEA,1125/20,LHR
XX292,04/20/2017,74V,0220/20,IAD,0930/20,LHR
XX286,04/20/2017,38A,0230/20,SFO,1300/20,LHR
XX214,04/20/2017,77Y,0240/20,BOS,0910/20,LHR
XX242,04/20/2017,74S,0240/20,MEX,1310/20,LHR
XX288,04/20/2017,74V,0240/20,PHX,1235/20,LHR
XX236,04/20/2017,32J,0245/20,DME,0655/20,LHR
XX182,04/20/2017,77Y,0255/20,JFK,1000/20,LHR
XX2238,04/20/2017,77K,0255/20,LIM,1515/20,LGW
XX168,04/20/2017,789,0300/20,PVG,1530/20,LHR
XX278,04/20/2017,789,0305/20,SJC,1320/20,LHR
XX038,04/20/2017,77G,0315/20,PEK,1430/20,LHR
XX272,04/20/2017,77G,0340/20,SAN,1420/20,LHR
XX006,04/20/2017,789,0355/20,NRT,1630/20,LHR
XX084,04/20/2017,74V,0355/20,YVR,1315/20,LHR
XX152,04/20/2017,77J,0405/20,IKA,1020/20,LHR
XX080,04/20/2017,77Z,0405/20,MCT,1220/20,LHR
XX102,04/20/2017,78B,0420/20,YYC,1300/20,LHR
XX274,04/20/2017,74V,0430/20,LAS,1430/20,LHR
XX146,04/20/2017,32J,0435/20,AMM,1015/20,LHR
XX268,04/20/2017,38A,0435/20,LAX,1505/20,LHR
XX010,04/20/2017,77J,0440/20,BKK,1720/20,LHR
XX166,04/20/2017,77Y,0445/20,TLV,1010/20,TLV
XX795,04/20/2017,32A,0445/20,HEL,0800/20,LHR
XX166,04/20/2017,77Y,0445/20,TLV,1010/20,LHR
XX256,04/20/2017,789,0450/20,DEL,1420/20,LHR
XX853,04/20/2017,32A,0450/20,PRG,0700/20,LHR
XX751,04/20/2017,319,0450/20,BSL,0635/20,LHR
XX016,04/20/2017,77G,0450/20,SYD,1305/20,SIN
XX365,04/20/2017,32A,0450/20,LYS,0635/20,LHR
XX971,04/20/2017,319,0500/20,HAJ,0645/20,LHR
XX803,04/20/2017,321,0500/20,GOT,0715/20,LHR
XX709,04/20/2017,319,0500/20,ZRH,0655/20,LHR
XX631,04/20/2017,32A,0500/20,ATH,0900/20,LHR
XX389,04/20/2017,319,0505/20,BRU,0620/20,LHR
XX1321,04/20/2017,32A,0505/20,NCL,0625/20,LHR
XX963,04/20/2017,32A,0505/20,HAM,0645/20,LHR
XX981,04/20/2017,32A,0505/20,TXL,0710/20,LHR
XX477,04/20/2017,32A,0510/20,BCN,0735/20,LHR
XX901,04/20/2017,319,0515/20,FRA,0710/20,LHR
XX935,04/20/2017,319,0520/20,DUS,0650/20,LHR
XX108,04/20/2017,77Y,0520/20,DXB,1315/20,LHR
XX456,04/20/2017,767,0520/20,LHR,0740/20,MAD
XX811,04/20/2017,321,0520/20,CPH,0735/20,LHR
XX947,04/20/2017,319,0520/20,MUC,0730/20,LHR
XX156,04/20/2017,74V,0520/20,KWI,1215/20,LHR
XX885,04/20/2017,321,0525/20,OTP,0900/20,LHR
XX865,04/20/2017,32A,0525/20,BUD,0810/20,LHR
XX303,04/20/2017,319,0525/20,CDG,0645/20,LHR
XX723,04/20/2017,319,0525/20,GVA,0710/20,LHR
XX561,04/20/2017,32A,0525/20,LIN,0730/20,LHR
XX2582,04/20/2017,32E,0530/20,LGW,0745/20,VCE
XX132,04/20/2017,789,0530/20,JED,1210/20,LHR
XX341,04/20/2017,32A,0530/20,NCE,0745/20,LHR
XX2606,04/20/2017,32M,0535/20,LGW,0820/20,NAP
XX388,04/20/2017,319,0535/20,LHR,0650/20,BRU
XX2786,04/20/2017,31N,0540/20,LGW,0715/20,BOD
XX360,04/20/2017,32A,0540/20,LHR,0715/20,LYS
XX2630,04/20/2017,32E,0540/20,LGW,0810/20,ALC
XX2931,04/20/2017,31N,0540/20,EDI,0715/20,LGW
XX428,04/20/2017,767,0540/20,LHR,0705/20,AMS
XX2706,04/20/2017,E9X,0540/20,LGW,0745/20,BCN
XX761,04/20/2017,32A,0545/20,OSL,0815/20,LHR
XX724,04/20/2017,319,0545/20,LHR,0720/20,GVA
XX1382,04/20/2017,32A,0545/20,LHR,0645/20,MAN
XX832,04/20/2017,32A,0545/20,LHR,0710/20,DUB
